id_cta_cte,id_cliente,totaL_facturado,totaL_pagado,total_saldo,adeuda
1,1,0,0,0,No
2,2,0,0,0,No
3,3,0,0,0,No
4,4,0,0,0,No
5,5,0,0,0,No
6,6,0,0,0,No
7,7,0,0,0,No
8,8,0,0,0,No
9,9,0,0,0,No
10,10,0,0,0,No
11,11,0,0,0,No
12,12,0,0,0,No
13,13,0,0,0,No
14,14,0,0,0,No
15,15,0,0,0,No
16,16,0,0,0,No
17,17,0,0,0,No
18,18,0,0,0,No
19,19,0,0,0,No
20,20,0,0,0,No
21,21,0,0,0,No
22,22,0,0,0,No
23,23,0,0,0,No
24,24,0,0,0,No
25,25,0,0,0,No
26,26,0,0,0,No
27,27,0,0,0,No
28,28,0,0,0,No
29,29,0,0,0,No
30,30,0,0,0,No
31,31,0,0,0,No
32,32,0,0,0,No
33,33,0,0,0,No
34,34,0,0,0,No
35,35,0,0,0,No
36,36,0,0,0,No
37,37,0,0,0,No
38,38,0,0,0,No
39,39,0,0,0,No
40,40,0,0,0,No
41,41,0,0,0,No
42,42,0,0,0,No
43,43,0,0,0,No
44,44,0,0,0,No
45,45,0,0,0,No
46,46,0,0,0,No
47,47,0,0,0,No
48,48,0,0,0,No
49,49,0,0,0,No
50,50,0,0,0,No
51,51,0,0,0,No
52,52,0,0,0,No
53,53,0,0,0,No
54,54,0,0,0,No
55,55,0,0,0,No
56,56,0,0,0,No
57,57,0,0,0,No
58,58,0,0,0,No
59,59,0,0,0,No
60,60,0,0,0,No
61,61,0,0,0,No
62,62,0,0,0,No
63,63,0,0,0,No
64,64,0,0,0,No
65,65,0,0,0,No
66,66,0,0,0,No
67,67,0,0,0,No
68,68,0,0,0,No
69,69,0,0,0,No
70,70,0,0,0,No
71,71,0,0,0,No
72,72,0,0,0,No
73,73,0,0,0,No
74,74,0,0,0,No
75,75,0,0,0,No
76,76,0,0,0,No
77,77,0,0,0,No
78,78,0,0,0,No
79,79,0,0,0,No
80,80,0,0,0,No
81,81,0,0,0,No
82,82,0,0,0,No
83,83,0,0,0,No
84,84,0,0,0,No
85,85,0,0,0,No
86,86,0,0,0,No
87,87,0,0,0,No
88,88,0,0,0,No
89,89,0,0,0,No
90,90,0,0,0,No
91,91,0,0,0,No
92,92,0,0,0,No
93,93,0,0,0,No
94,94,0,0,0,No
95,95,0,0,0,No
96,96,0,0,0,No
97,97,0,0,0,No
98,98,0,0,0,No
